N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
137,TIGER 미국나스닥100,"71,485",530,+0.75%,0,"21,460","30,020",0.15,"67,468",N/A,N/A,
138,에스원,"56,400",0,0.00%,500,"21,432","37,999",54.32,"112,377",16.84,9.13,
139,TIGER MSCI Korea TR,"13,295",50,+0.38%,0,"20,847","156,800",3.25,"17,970",N/A,N/A,
140,삼천리,"513,000","16,000",+3.22%,"5,000","20,802","4,055",15.00,"31,664",26.17,4.52,
141,대성홀딩스,"127,100","2,200",-1.70%,"1,000","20,450","16,089",6.06,"53,381",127.87,3.61,
142,한화,"26,950",250,-0.92%,"5,000","20,201","74,959",18.01,"142,793",1.94,20.22,
143,DB하이텍,"45,300",250,-0.55%,"5,000","20,113","44,399",26.95,"390,816",3.32,33.35,
144,신세계,"204,000","1,000",+0.49%,"5,000","20,084","9,845",20.67,"100,397",6.76,8.54,
145,KODEX 200TR,"10,720",25,+0.23%,0,"19,939","186,000",0.00,"159,952",N/A,N/A,
146,효성티앤씨,"457,500",500,-0.11%,"5,000","19,799","4,328",8.76,"26,926",13.01,76.22,
147,TIGER 200,"31,920",100,+0.31%,0,"19,758","61,900",2.88,"532,981",N/A,N/A,
148,동서,"19,330",230,+1.20%,500,"19,272","99,700",3.19,"48,755",17.41,8.05,
149,GS건설,"22,250",350,-1.55%,"5,000","19,042","85,581",27.54,"784,164",3.81,9.32,
150,영원무역,"42,650",750,-1.73%,500,"18,899","44,311",30.67,"71,834",3.33,14.71,
151,CJ대한통운,"81,700",800,-0.97%,"5,000","18,638","22,812",16.32,"45,885",9.24,1.59,
152,KODEX 레버리지,"14,740",95,+0.65%,0,"18,558","125,900",1.70,"18,819,450",N/A,N/A,
153,효성첨단소재,"411,000","6,000",+1.48%,"5,000","18,413","4,480",6.87,"14,621",10.17,54.69,
154,TIGER 미국S&P500,"13,215",45,+0.34%,0,"18,356","138,900",0.18,"556,146",N/A,N/A,
155,JB금융지주,"9,250",80,-0.86%,"5,000","18,221","196,983",32.24,"642,834",3.13,12.80,
156,대한전선,"1,458",7,-0.48%,100,"18,144","1,244,473",2.51,"7,016,050",56.08,7.78,
