가구일련번호,향후거주의향,입력된가구원수계,나이,주택형태,성별,교육정도,혼인상태,지역 거주기간,통근시간(분),월평균가구소득
F00207,1,2,34,,2,4,2,1,,
F00207,1,2,36,1,1,4,2,4,,4
F00208,4,1,85,3,2,1,3,30,,1
F00209,5,1,62,3,2,4,2,42,5,3
F00210,5,2,66,4,1,8,2,45,5,3
F00210,5,2,67,,2,5,2,22,30,
F00211,5,1,69,4,1,6,1,20,,3
F00212,5,1,68,4,1,5,2,50,,3
F00213,4,1,72,1,2,4,4,43,10,2
F00214,5,1,52,3,1,2,4,6,,2
F00215,5,1,72,3,1,2,1,23,,2
F00216,5,1,83,3,1,3,4,30,,2
F00217,4,1,85,3,2,2,3,10,,2
F00218,4,1,79,3,1,4,4,51,,2
F00219,4,1,72,3,1,2,4,16,,1
F00220,4,1,76,3,1,2,4,40,,1
F00221,2,1,29,1,2,6,1,2,10,5
F00222,2,1,28,1,2,6,1,23,20,4
F00223,5,1,75,1,2,2,3,31,10,3
F00224,5,1,26,1,2,4,1,7,15,4
F00225,4,4,35,,2,5,2,17,30,
F00225,4,4,36,1,1,4,2,15,30,8
F00226,4,1,52,1,2,4,4,10,30,3
F00227,4,1,48,1,1,4,1,20,30,5
F00228,5,2,75,,2,3,2,46,,
F00228,5,2,77,1,1,3,2,46,,3
F00229,4,1,35,1,1,6,1,35,20,3
F00230,5,1,63,4,1,4,4,40,,3
F00231,4,1,55,4,1,5,1,30,,4
F00232,4,3,38,,2,4,1,30,,
F00232,4,3,40,,1,4,1,30,10,
F00232,4,3,62,1,2,4,4,30,,4
F00233,2,1,41,1,1,5,1,6,20,5
F00234,4,4,21,,1,6,1,21,30,
F00234,4,4,46,,2,6,2,15,10,
F00234,4,4,52,1,1,4,2,15,20,5
F00235,4,1,31,1,1,5,1,20,15,5
F00236,5,2,63,,2,2,2,20,,
F00236,4,2,67,1,1,3,2,20,20,4
F00237,4,4,50,,2,4,2,15,20,
F00237,5,4,54,1,1,6,2,54,10,4
F00238,5,1,69,3,2,3,3,22,20,3
F00239,3,1,81,3,2,3,3,4,,2
F00240,4,1,26,3,1,4,1,1,,2
F00241,5,2,52,,1,4,4,52,,
F00241,5,2,84,3,1,2,3,66,,3
F00242,4,2,54,,2,4,2,10,20,
F00242,4,2,56,3,1,5,2,10,20,5
F00243,4,2,61,,2,3,2,45,15,
F00243,5,2,65,1,1,4,2,45,50,5
F00244,4,3,36,,1,5,1,36,30,
F00244,4,3,61,,2,4,2,40,30,
F00244,4,3,66,1,1,4,2,40,30,7
F00245,2,3,19,,1,6,1,1,30,
F00245,2,3,23,,2,6,1,4,,
F00245,4,3,71,1,2,2,3,10,20,3
F00246,4,4,16,,1,4,1,16,30,
F00246,3,4,47,,2,5,2,19,,
F00246,4,4,49,3,1,6,2,49,,6
F00247,4,1,58,3,2,4,4,10,,3
F00248,4,2,29,,1,5,1,28,40,
F00248,5,2,65,3,2,4,4,65,,5
F00249,5,5,42,,2,6,2,15,,
F00249,5,5,46,3,1,7,2,43,25,4
F00250,4,1,66,3,2,3,4,40,10,3
F00251,4,5,36,,2,5,2,14,,
F00251,4,5,40,2,1,5,2,40,50,6
F00252,5,3,25,,1,5,1,17,50,
F00252,5,3,61,,2,4,2,17,,
F00252,5,3,63,2,1,4,2,17,30,6
F00253,4,3,39,,2,6,2,10,10,
F00253,4,3,41,2,1,6,2,10,50,6
F00254,4,1,57,2,2,3,4,30,5,4
F00255,5,2,71,2,2,3,2,46,,4
F00256,4,4,49,,1,6,1,49,50,
F00256,5,4,52,,1,6,1,52,50,
F00256,5,4,81,,2,2,2,59,,
F00256,5,4,85,2,1,4,2,57,,9
F00257,3,4,37,,2,4,2,13,,
F00257,3,4,45,2,1,5,2,45,40,4
F00257,3,4,70,,2,4,3,50,,
F00258,4,1,70,2,2,4,1,10,,3
F00259,3,3,27,,1,4,1,27,30,
F00259,5,3,59,,2,5,2,35,10,
F00259,5,3,61,2,1,4,2,32,20,7
F00260,5,2,79,,2,4,2,50,,
F00260,5,2,84,2,1,6,2,50,,4
F00261,5,2,76,,2,2,2,39,,
F00261,5,2,85,2,1,4,2,39,,3
F00262,5,2,78,,2,1,2,30,,
F00262,5,2,78,2,1,2,2,30,,3
F00263,4,4,18,,1,6,1,18,,
F00263,2,4,22,,2,6,1,22,,
F00263,5,4,52,,2,4,2,23,30,
F00263,5,4,54,2,1,5,2,33,20,9
F00264,5,1,80,2,2,3,3,22,,3
F00265,5,2,85,2,1,2,2,55,,4
F00266,5,2,72,,2,5,2,50,,
F00266,5,2,72,1,1,5,2,50,,8
F00267,5,2,44,,1,4,1,20,30,
F00267,5,2,67,3,2,3,3,20,,3
F00268,5,1,79,3,1,4,4,2,,2
F00269,5,2,74,,2,2,2,60,,
F00269,5,2,82,3,1,4,2,60,,2
F00270,4,1,41,4,1,4,1,10,20,5
F00271,5,1,26,4,1,5,1,26,10,4
F00272,4,1,64,4,1,4,4,16,,3
F00273,4,1,30,4,1,5,1,1,10,4
F00274,4,1,43,4,1,4,1,7,30,5
F00275,2,1,25,4,1,6,1,2,50,4
F00276,5,1,53,1,1,4,4,53,,1
F00277,4,1,58,1,1,5,4,5,30,2
F00278,3,1,36,1,1,4,1,20,20,2
F00279,5,1,62,1,1,4,4,62,15,2
F00280,4,1,57,1,1,4,4,20,30,3
F00281,4,2,51,,1,3,1,1,50,
F00281,4,2,58,3,1,2,4,10,30,4
F00282,5,1,69,3,2,4,4,42,5,2
F00283,3,4,25,,1,6,1,14,,
F00283,3,4,27,,2,6,1,14,,
F00283,3,4,53,,2,4,2,14,,
F00283,4,4,61,3,1,3,2,14,15,7
F00284,5,1,65,1,1,5,4,35,,2
F00285,5,1,54,3,1,2,1,10,5,2
F00286,2,1,29,3,2,5,1,7,15,4
F00287,4,1,50,3,1,4,1,20,40,3
F00288,4,2,41,,2,6,1,40,,
F00288,4,2,72,3,1,4,2,40,,3
F00289,2,2,36,3,1,6,1,30,40,5
F00289,5,2,65,,2,4,3,30,,
F00290,2,2,31,,2,6,1,25,25,
F00290,4,2,59,3,2,3,2,25,,7
F00291,5,1,55,3,2,3,3,32,16,3
F00292,2,3,27,,1,5,1,27,15,
F00292,4,3,62,,2,3,2,33,,
F00292,4,3,65,1,1,4,2,33,30,6
F00293,5,1,78,1,2,2,3,52,,2
F00294,4,2,58,,2,4,2,4,30,
F00294,3,2,63,3,1,5,2,30,,3
F00295,4,1,49,3,2,6,1,20,,3
F00296,4,2,30,,1,4,1,30,,
F00296,4,2,58,3,2,4,3,30,30,3
F00297,4,2,52,,2,4,2,30,20,
F00297,4,2,57,3,1,2,2,30,40,4
F00298,4,2,50,,2,4,2,12,,
F00298,3,2,51,3,1,4,2,12,30,4
F00299,4,1,60,3,2,4,4,7,,2
F00300,2,2,62,,2,3,2,35,30,
F00300,2,2,66,3,1,3,2,40,,3
F00301,4,2,62,,2,3,2,10,,
F00301,4,2,75,3,1,4,2,10,,2
F00302,4,1,58,3,2,4,4,58,,2
F00303,4,1,59,3,1,6,4,20,,2
F00304,4,2,54,,2,3,2,10,10,
F00304,4,2,56,3,1,3,2,10,10,4
F00305,4,2,30,,1,4,1,13,,
F00305,4,2,60,3,1,4,4,13,20,5
F00306,4,2,69,,2,3,2,50,,
F00306,4,2,83,3,1,4,2,50,,2
F00307,4,1,75,3,2,2,3,20,,2
F00308,2,3,31,,2,5,2,3,,
F00308,2,3,33,3,1,7,2,11,,5
F00309,4,4,42,,2,5,2,30,10,
F00309,4,4,45,1,1,5,2,40,30,6
F00310,1,5,18,,2,6,1,18,,
F00310,3,5,21,,2,6,1,21,30,
F00310,4,5,48,,2,4,2,29,,
F00310,4,5,55,2,1,2,2,35,,4
F00311,4,3,46,,1,4,1,46,30,
F00311,4,3,68,2,1,4,2,50,,5
F00311,5,3,69,,2,2,2,50,30,
F00312,4,2,62,,2,3,2,30,,
F00312,4,2,63,2,1,4,2,30,20,4
F00313,2,2,53,,2,7,2,16,,
F00313,2,2,61,2,1,5,2,16,30,4
F00314,2,3,33,,2,5,1,28,10,
F00314,4,3,64,,2,4,2,28,,
F00314,4,3,66,2,1,4,2,28,,4
F00315,4,3,23,,1,6,1,5,50,
F00315,2,3,53,2,1,6,2,5,10,8
F00315,2,3,55,,2,4,2,5,50,
F00316,5,1,56,2,2,3,4,28,15,3
F00317,5,2,72,,2,3,2,17,,
F00317,5,2,74,2,1,4,2,50,20,6
F00318,4,3,32,,2,6,1,13,,
F00318,4,3,58,,2,4,2,13,,
F00318,4,3,62,2,1,6,2,13,,7
F00319,5,1,67,2,2,3,3,30,,4
F00320,2,4,46,,2,6,2,13,,
F00320,1,4,48,2,1,7,2,13,25,8
F00321,4,3,40,,1,5,1,30,,
F00321,5,3,65,,2,4,2,34,,
F00321,5,3,67,2,1,4,2,34,,4
F00322,3,3,44,,2,4,1,8,,
F00322,5,3,76,,2,4,2,20,,
